timestamp,role,experience,usage_frequency,devices,workflows_used,workflows_used_count,workflow_to_improve,workflow_category,workflow_frequency,steps_estimate,steps_numeric,intrinsic_difficulty,extraneous_difficulty,task_time,task_time_seconds,friction_points,friction_tags,stuck_point,stuck_tags,key_fix,key_fix_category,priority_workflows,priority_primary,priority_secondary,clarity_importance,comments,task_time_category,role_Academic staff (lecturer),role_Administrative staff,role_Student,priority_score
2025-11-11 14:20:05.605,Administrative staff,1-3 years,Daily,Desktop / Laptop,"['View or update personal profile / contact information', 'Search and register for courses', 'View course schedule', 'View grades or exam results', 'Find a student’s transcript and export it (PDF/CSV)', 'Enter / Edit an exam grade', 'Enrol / Unenrol a student in a course', 'Generate a student payment or status report', 'Submit or approve course grades', 'Search / View course lists', 'Manage tuition payments or invoices (administrators)', 'Prepare academic reports or statistics']",12,Find a student’s transcript and export it (PDF/CSV),,Daily,5-6,5.5,2,5,1–3 min,120.0,"['Too many pages/tabs for one action', 'Important actions are hidden / too small / far away', 'Missing or slow system feedback after actions']",,to find the students i need to first search for their student Id and only then I can navigate to transcipt pace. Several tabls need to pen here.,,if entering the students name sistem would already suggest users to choose from,,"['Enter / Edit an exam grade', 'Enrol / Unenrol a student in a course']",,,5,the cognitive load is too much.,1.0,False,True,False,24
2025-11-11 14:26:33.163,Administrative staff,1-3 years,Daily,Desktop / Laptop,"['Search and register for courses', 'View course schedule', 'View grades or exam results', 'Enter / Edit an exam grade', 'Enrol / Unenrol a student in a course', 'Search / View course lists']",6,Enter / Edit an exam grade,,Weekly,7+,7.0,5,5,> 10 min,660.0,"['Too many pages/tabs for one action', 'Confusing terminology or unclear field names', 'Important actions are hidden / too small / far away', 'Validation errors are unclear or appear too late', 'Missing or slow system feedback after actions', 'Re-entering the same data / duplicate steps', 'Access or permission issues block me', 'At the end of semester', 'when student havent been transfered yet', 'Cant uplead grades automaticaly at all.']",,Importing often is full of mistakes.,,I would wish for students to be sorted into preper course lists by their status instead of manually.,,['Submit or approve course grades'],,,5,The mistakes in the system are often unpredictable.,4.0,False,True,False,21
2025-11-11 14:49:20.729,Administrative staff,1-3 years,Daily,Desktop / Laptop,"['View course schedule', 'Enter / Edit an exam grade', 'Submit or approve course grades', 'Create or update course information', 'Manage tuition payments or invoices (administrators)', 'Prepare academic reports or statistics', 'Enter exchange students courses']",7,Prepare academic reports or statistics,,Daily,3-4,3.5,1,5,3–5 min,240.0,"['I can’t find the right menu or label', 'Too many pages/tabs for one action', 'Confusing terminology or unclear field names']",,Understanding which are correct courses to pick,,"honestly, this is a difficult task, so intuitive workflow would b most needed.",,['Create or update course information'],,,4,,2.0,False,True,False,17
2025-11-11 14:53:29.280,Student,Less than 6 months,A few times per month,"Desktop / Laptop, Mobile phone","['View course schedule', 'Find a student’s transcript and export it (PDF/CSV)', 'Submit or approve course grades', 'Manage tuition payments or invoices (administrators)']",4,Approve or update a study plan,,Monthly,5-6,5.5,3,4,3–5 min,240.0,"['Confusing terminology or unclear field names', 'Validation errors are unclear or appear too late']",,,,,,['Submit or approve course grades'],,,4,,2.0,False,False,True,15
2025-11-11 14:53:39.998,Student,6-12 months,A few times per month,"Desktop / Laptop, Mobile phone",['View grades or exam results'],1,View grades or exam results,,Monthly,3-4,3.5,2,3,1–3 min,120.0,"['I can’t find the right menu or label', 'Confusing terminology or unclear field names', 'Important actions are hidden / too small / far away', 'Mobile view is hard to use']",,,,,,"['Search and register for courses', 'View grades or exam results']",,,4,,1.0,False,False,True,10
2025-11-11 14:53:57.420,Student,1-3 years,A few times per month,"Desktop / Laptop, Mobile phone","['View or update personal profile / contact information', 'Search and register for courses', 'View grades or exam results', 'Find a student’s transcript and export it (PDF/CSV)']",4,Search and register for courses,,Monthly,3-4,3.5,2,4,3–5 min,240.0,"['I can’t find the right menu or label', 'Confusing terminology or unclear field names', 'Missing or slow system feedback after actions']",,,,,,['Search and register for courses'],,,3,,2.0,False,False,True,13
2025-11-11 14:54:39.188,Student,1-3 years,A few times per month,Desktop / Laptop,"['Search and register for courses', 'View grades or exam results']",2,Prepare academic reports or statistics,,Monthly,3-4,3.5,4,3,1–3 min,120.0,"['Too many pages/tabs for one action', 'Confusing terminology or unclear field names', 'Re-entering the same data / duplicate steps']",,,,,,"['Generate a student payment or status report', 'Prepare academic reports or statistics']",,,4,,1.0,False,False,True,13
2025-11-11 14:54:41.154,Student,1-3 years,Rarely,"Desktop / Laptop, Mobile phone","['View grades or exam results', 'Find a student’s transcript and export it (PDF/CSV)']",2,Search and register for courses,,A few times per semester,3-4,3.5,4,5,3–5 min,240.0,"['I can’t find the right menu or label', 'Too many pages/tabs for one action']",,,,,,['Search and register for courses'],,,3,,2.0,False,False,True,14
2025-11-11 14:54:44.137,Student,1-3 years,A few times per month,"Desktop / Laptop, Mobile phone","['Search and register for courses', 'View grades or exam results', 'Search / View course lists']",3,View grades or exam results,,Rarely,Not sure,3.5,3,3,3–5 min,240.0,['Performance is slow at key moments'],,,,,,['Generate a student payment or status report'],,,3,,2.0,False,False,True,12
2025-11-11 14:54:54.703,Student,1-3 years,A few times per week,"Desktop / Laptop, Mobile phone","['Search and register for courses', 'View grades or exam results']",2,Search and register for courses,,A few times per semester,3-4,3.5,3,5,1–3 min,120.0,['I can’t find the right menu or label'],,,,,,"['Search and register for courses', 'View grades or exam results']",,,3,,1.0,False,False,True,13
